k_apt_id,apt_id
A15681103,6294
A12284501,2686
A10024815,7957
A13528003,7739
A13528007,7748
A13528007,8079
A13528004,7733
A13528004,7954
A13528004,8297
A13528004,8298
A13583604,7754
A13583604,7760
A13583507,7734
A13584101,7759
A10026924,8148
A10027800,8287
A13583701,7747
A10024821,7752
A13528105,7914
A13528105,8147
A13528103,7755
A13528102,7953
A13528001,7751
A13583404,7742
A13583402,7732
A13583403,7741
A10024799,7737
A13528005,7871
A12017001,3214
A12181103,3544
A12181101,3706
A12172401,3768
A12172402,3752
A13527018,7889
A13527001,7827
A13550502,7815
A13527010,7823
A10027319,8161
A13527004,7829
A13527008,7814
A13585804,7816
A13527006,7821
A13527002,7835
A13586102,8013
A13586102,8060
A13585404,7830
A13585404,8163
A13527203,7929
A13527013,7832
A13527003,7833
A13527016,7828
A13585401,7824
A13527005,7890
A13527014,7840
A13585403,7837
A13527017,7817
A13585402,7888
A15083202,5984
A15076701,5982
A15076702,6140
A15083201,5983
A13281802,2065
A13293505,2150
A13280104,2122
A13201206,2244
A13201206,2245
A13275301,2246
A13281201,2063
A13201208,2060
A13201208,2067
A13201201,2064
A13201001,2159
A13275303,2115
A13201209,2061
A13201202,2118
A13370801,661
A14007002,305
A12170401,3705
A12104005,3531
A12104005,3828
A12170402,3576
A12104007,3536
A12104007,3704
A12181406,3533
A12181406,3809
A12104001,3703
A12104001,3814
A12181404,3534
A15383601,5773
A15301105,5792
A10025116,5877
A15381402,5761
A15381303,5845
A15383604,5765
A10026626,5878
A15375810,5844
A15381706,5766
A15370301,5847
A15382301,5771
A10025946,5869
A15383307,5762
A15375809,5763
A13606107,1654
A13606201,1698
A13606201,1858
A13606101,1659
A13606004,1655
A13606004,1656
A13606004,1834
A13606002,1697
A13679903,1785
A13679902,1751
A10027227,1802
A13606003,1662
A13681303,1696
A13606102,1657
A13606102,1695
A13681304,1658
A13603701,1820
A13603401,1803
A13603501,1765
A13603702,1786
A14070901,428
A15608002,6336
A15608003,6376
A15608001,6335
A13406206,8901
A13406002,8977
A13406205,8900
A13406003,8908
A13470503,9152
A13406204,8904
A13470504,8912
A13470502,8983
A13481802,8905
A13406005,8980
A13406201,8907
A15703004,4452
A15703308,4444
A15703302,4451
A15703304,4449
A15703303,4450
A15703307,4455
A15703309,4448
A15703301,4465
A15784201,4597
A15784008,4442
A15703001,4456
A15703005,4447
A15703002,4458
A15783907,4459
A15783701,4462
A15783703,4673
A15703204,4443
A15784402,4460
A15783902,4457
A15783905,4675
A15703306,4446
A15784003,4453
A15772902,4454
A15772901,4463
A15783806,4461
A10027371,5028
A10027371,5058
A15721006,4792
A15722010,4858
A15722009,4793
A15721009,4817
A15721007,4816
A15721008,4859
A10026879,4895
A15721010,4794
A15728011,4838
A15721003,4500
A15721004,4499
A15721005,4498
A15721001,4497
A13381601,609
A13305006,568
A13381608,569
A13305002,633
A13305003,610
A13305007,567
A13381604,632
A13812002,8573
A13812004,8477
A13812003,8516
A13812001,8545
A13881701,8621
A13812005,8618
A10025672,3543
A12105001,3542
A10080701,224
A10026881,250
A10026517,269
A13123101,1443
A13123101,1446
A13123002,1544
A13123102,1440
A13123102,1505
A13176102,1488
A13123001,1442
A12182401,3595
A12182101,3665
A12123001,3560
A13183701,1402
A13120001,1463
A13120403,1405
A13183504,1353
A13183502,1400
A13188406,1417
A13183202,1408
A13183204,1464
A10025159,1616
A10028033,1550
A13184208,1396
A13184401,1416
A13120704,1352
A13184502,1397
A13183405,1395
A13120701,1537
A13181203,1404
A13183303,1469
A13181201,1355
A13181201,1468
A13175103,1356
A13184301,1354
A11052201,54
A13407104,8846
A13407104,8857
A13407104,8863
A13407202,8854
A13482505,8847
A13407201,8859
A13407002,8856
A13482706,8851
A13483002,8848
A13482801,8862
A10025415,9277
A15805109,3990
A15882006,3985
A15882008,3978
A15882103,3981
A15805114,4119
A15882107,3943
A15805502,3975
A15805504,3961
A15805501,3969
A15805301,3959
A15875103,3953
A15805115,3944
A15805115,3957
A15805101,3949
A15805102,3958
A15805003,3950
A15805503,3962
A15805105,3974
A15882104,3955
A15805002,3967
A15875101,3964
A15875102,3963
A15805302,3945
A10024823,4142
A15805404,3971
A15880204,3968
A15881702,3987
A15805202,4184
A15881601,3946
A15881701,3972
A15805203,3954
A15805303,3970
A15880905,3966
A10026023,4264
