k-아파트코드,k-아파트명,"k-단지분류(아파트,주상복합등등)",주소(시군구),주소(읍면동),나머지주소,주소(도로명),주소(도로상세주소),k-세대타입(분양형태),k-복도유형,k-난방방식,k-전체동수,k-전체세대수,k-건설사(시공사),k-시행사,k-사용검사일-사용승인일,k-전용면적별세대현황(60㎡이하),k-전용면적별세대현황(60㎡~85㎡이하),k-85㎡~135㎡이하,k-135㎡초과
A13010004,장안현대힐스테이트,아파트,동대문구,장안동,,장안벚꽃로1길,7,분양,계단식,개별난방,11,859,현대건설,장안시영2단지재건축조합,2007-08-04 00:00:00.0,388,331,140,0
A13010005,래미안장안2차,아파트,동대문구,장안동,.,장안벚꽃로,167,분양,계단식,개별난방,24,1786,삼성물산,장안시영아파트재건축조합,2007-06-28 00:00:00.0,48,1484,254,0
A13010006,장안현대홈타운,아파트,동대문구,장안동,336번지 장안현대홈타운 관리사무소,장안벚꽃로,107,분양,계단식,개별난방,22,2182,현대건설,장안1동 재건축주택조합,2003-10-28 00:00:00.0,511,1096,575,0
A13070101,회기힐스테이트,아파트,동대문구,회기동,351,회기로26길,15,분양,계단식,개별난방,5,190,현대건설,현대건설,2011-12-20 00:00:00.0,0,156,34,0
A13070301,래미안허브리츠,아파트,동대문구,용두동,792번지,정릉천동로,36,분양,타워형,개별난방,10,844,삼성물산,용두1구역 주택재개발사업,2011-04-28 00:00:00.0,232,422,190,0
A13070302,래미안용두1차,아파트,동대문구,용두동,792-1,고산자로29길,18,임대,복도식,개별난방,1,210,삼성건설,용두1구역 주택재개발조합,2011-04-28 00:00:00.0,210,0,0,0
A13071201,청량리홍릉동부임대,아파트,동대문구,청량리동,213번지,제기로26길,26,,복도식,개별난방,1,150,(주)동부건설,SH공사,2001-09-24 00:00:00.0,150,0,0,0
A13071301,전농동아임대,아파트,동대문구,전농동,645-2,서울시립대로,31,임대,복도식,개별난방,1,220,동아건설,동아건설,1997-12-22 00:00:00.0,220,0,0,0
A13071302,래미안크레시티,아파트,동대문구,전농동,래미안크레시티아파트,사가정로,65,임대+분양,혼합식,개별난방,31,2397,삼성물산(주),전농7구역 주택재개발정비사업조합,2014-10-23 00:00:00.0,963,977,457,0
A13075402,래미안엘파인,아파트,동대문구,답십리동,1000,한천로37길,33,분양,계단식,개별난방,9,472,삼성물산,.,2011-06-23 00:00:00.0,166,227,79,0
A13075403,답십리청솔우성제2,아파트,동대문구,답십리동,80-1,답십리로57길,53,영구임대,복도식,개별난방,2,432,우성건설,sh공사,2000-03-18 00:00:00.0,432,0,0,0
A13075404,답십리동아제2,아파트,동대문구,답십리동,답십리동아임대아파트,한천로11길,10,임대,복도식,개별난방,3,492,동아건설,동아건설,2001-11-23 00:00:00.0,492,0,0,0
A13075405,답십리두산제2,아파트,동대문구,답십리동,두산아파트,답십리로56길,21-1,임대,복도식,개별난방,2,310,SH공사,두산건설,2000-08-02 00:00:00.0,310,0,0,0
A13076801,이문삼성래미안아파트,아파트,동대문구,이문동,425,천장산로11길,22,분양,계단식,개별난방,8,379,삼성물산 건설부문,삼성물산 건설부문,2001-11-07 00:00:00.0,23,133,148,0
A13077201,제기한신제2임대아파트,아파트,동대문구,제기동,1212-1,회기로8길,20,임대,복도식,중앙난방,1,260,(주)한신공영,SH공사,2004-05-11 00:00:00.0,260,0,0,0
A13077702,휘경 미소지움아파트,아파트,동대문구,휘경동,106번지,망우로,105,분양,혼합식,개별난방,5,345,신성건설,신성건설,1999-08-31 00:00:00.0,189,100,56,0
A13077703,휘경롯데1차,아파트,동대문구,휘경동,78,망우로,95,분양,혼합식,개별난방,2,265,롯데건설(주),롯데건설(주),2000-08-25 00:00:00.0,114,121,30,0
A13078301,휘경센트레빌,아파트,동대문구,휘경동,367,외대역동로,14,분양,계단식,개별난방,5,297,동부건설,0,2011-09-29 00:00:00.0,51,187,59,0
A13078701,장안위더스빌,주상복합,동대문구,장안동,580,한천로,42,분양,계단식,개별난방,3,157,BYC,BYC,2011-08-04 00:00:00.0,0,98,58,0
A13079401,대림아파트201동,아파트,동대문구,이문동,225-1,이문로54길,16,임대,복도식,개별난방,1,181,대림건설,대림건설,2003-07-09 00:00:00.0,181,0,0,0
A13079402,이문현대임대,아파트,동대문구,이문동,54-1,한천로58길,135,임대,계단식,개별난방,1,188,현대건설,현대건설,2000-05-03 00:00:00.0,188,0,0,0
A13079403,이문쌍용임대,아파트,동대문구,이문동,64-1,한천로58길,75-45,임대,복도식,개별난방,1,245,쌍용건설,sh공사,2000-11-29 00:00:00.0,245,0,0,0
A13080201,답십리대우,아파트,동대문구,답십리동,,답십리로41길,33,분양,혼합식,개별난방,4,319,대우건설,답십리제11구역주택재개발조합,2002-04-29 00:00:00.0,109,128,82,0
A13080401,신답극동아파트,아파트,동대문구,답십리동,464-1 신답극동아파트관리사무소,서울시립대로,5,분양,혼합식,개별난방,2,225,극동건설,극동건설,1987-08-04 00:00:00.0,120,45,60,0
A13080702,신답경남아파트,아파트,동대문구,답십리동,645-8,천호대로47길,62,분양,복도식,개별난방,1,225,대우경남,답십리 6구역 재개발지역,1991-06-19 00:00:00.0,60,165,0,0
A13080801,답십리대림,아파트,동대문구,답십리동,,답십리로60길,38,분양,계단식,개별난방,3,228,대림산업(주),대림산업(주),2003-01-08 00:00:00.0,69,121,38,0
A13082501,삼익,아파트,동대문구,이문동,73,한천로55길,9,분양,혼합식,개별난방,2,353,(주) 삼익,삼익건설,1997-12-30 00:00:00.0,150,125,78,0
A13082502,이문중앙하이츠빌,아파트,동대문구,이문동,84,외대역동로,101,임대+분양,계단식,개별난방,6,302,중앙건설,중앙건설,2002-05-23 00:00:00.0,116,112,74,0
A13082702,이문대우1차,아파트,동대문구,이문동,45,한천로58길,139,분양,계단식,개별난방,7,490,대우건설,(주)청탑,2001-12-20 00:00:00.0,0,406,84,0
A13082703,이문현대,아파트,동대문구,이문동,54번지,한천로58길,107,분양,혼합식,개별난방,4,601,이문1구역재개발조합,현대산업개발,2000-05-03 00:00:00.0,250,201,150,0
A13082704,이문쌍용,아파트,동대문구,이문동,관리사무소,한천로58길,47,분양,계단식,개별난방,15,1318,쌍용,쌍용,2000-11-29 00:00:00.0,580,450,288,0
A13082805,이문e-편한세상,아파트,동대문구,이문동,,한천로63길,10,분양,계단식,개별난방,19,1378,대림산업(주),이문3구역주택재개발조합,2003-07-09 00:00:00.0,444,624,310,0
A13083102,래미안이문2차,아파트,동대문구,이문동,311,이문로12길,3-10,분양,계단식,개별난방,9,648,삼성물산,이문5재개발조합,2004-04-13 00:00:00.0,267,258,101,0
A13084101,래미안장안,아파트,동대문구,장안동,래미안장안아파트,장한로14길,81,분양,계단식,개별난방,8,558,삼성건설,재건축조합,2003-04-30 00:00:00.0,82,396,80,0
A13084802,전농SK제2(임대),아파트,동대문구,전농동,10-1,전농로10길,111,임대,복도식,개별난방,3,848,sk건설,전농제4구역주택개량재개발조합,2000-05-29 00:00:00.0,848,0,0,0
A13084804,전농SK,아파트,동대문구,전농동,,사가정로,148,분양,혼합식,개별난방,16,1830,SK건설,전농4구역주택재개발조합,2000-07-06 00:00:00.0,514,834,482,0
A13085301,전농삼성,아파트,동대문구,전농동,서울 동대문구 전농2동 155번지 전농삼성아파트관리사무소,전농로,192,분양,혼합식,개별난방,7,463,(주)삼성물산,(주)삼성물산,2000-05-13 00:00:00.0,182,176,105,0
A13085901,전농동아,아파트,동대문구,전농동,,서울시립대로,31,분양,혼합식,기타,2,360,동아건설,동아건설,1997-12-22 00:00:00.0,169,128,63,0
A13085902,전농동신성미소지움아파트,아파트,동대문구,전농동,,서울시립대로,75,분양,혼합식,개별난방,6,385,신성건설(주),전농연합재건축조합,2005-10-05 00:00:00.0,180,108,97,0
A13086101,제기안암골벽산,아파트,동대문구,제기동,서울 동대문구 제기동 153,약령시로,25,분양,계단식,개별난방,7,640,벽산건설,재건축조함,2003-06-13 00:00:00.0,88,308,244,0
A13086701,청량리현대,아파트,동대문구,청량리동,234-2,약령시로21길,30,분양,혼합식,중앙난방,3,241,현대건설,현대건설,1987-06-16 00:00:00.0,0,151,90,0
A13086703,청량리한신1차,아파트,동대문구,청량리동,59번지,제기로,129,임대,복도식,개별난방,2,610,(주)한신공영,청량리4구역주택재개발사업조합,1997-12-16 00:00:00.0,610,0,0,0
A13086704,청량리한신,아파트,동대문구,청량리동,,제기로,131,분양,혼합식,개별난방,9,960,한신공영,한신공영,1997-12-16 00:00:00.0,276,383,301,0
A13086705,청량리미주,아파트,동대문구,청량리동,235-11,약령시로,147,분양,혼합식,중앙난방,8,1089,라이프주택,라이프주택,1978-09-27 00:00:00.0,0,0,759,0
A13086802,청량리홍릉동부,아파트,동대문구,청량리동,212번지,홍릉로10길,48,분양,계단식,개별난방,4,371,동부건설,동부건설,2001-09-24 00:00:00.0,116,166,89,0
A13087201,청량리신현대,아파트,동대문구,회기동,65,이문로1길,21,분양,혼합식,개별난방,8,736,현대건설,kt주택조합,1989-05-26 00:00:00.0,54,682,0,0
A13087401,휘경서울가든,아파트,동대문구,휘경동,49-5,겸재로,24,분양,복도식,개별난방,1,160,삼익건설(주),동대문구,1985-12-03 00:00:00.0,0,30,130,0
A13087405,휘경베스트빌현대,아파트,동대문구,휘경동,52,장안벚꽃로5길,19,분양,혼합식,개별난방,3,372,현대건설(주),관성아파트재건축조합,2000-05-15 00:00:00.0,176,104,92,0
A13087407,휘경주공2단지,아파트,동대문구,휘경동,57,한천로,248,분양,복도식,개별난방,7,800,LH공사,LH공사,2001-11-15 00:00:00.0,800,0,0,0
A13113001,신내동성7차,아파트,중랑구,신내동,동성7차아파트,신내로14길,21,분양,혼합식,개별난방,1,235,(주)동성,(주)동성,1999-04-27 00:00:00.0,148,66,21,0
A13113002,신내벽산,아파트,중랑구,신내동,437번지,용마산로125길,50,분양,혼합식,개별난방,3,284,벽산건설(주),벽산건설(주),2000-06-28 00:00:00.0,156,80,48,0
A13113003,신내동성4차,아파트,중랑구,신내동,서울시 중랑구 신내동 591,봉화산로,216,분양,혼합식,지역난방,4,478,(주)동성건설,(주)동성건설,1997-07-25 00:00:00.0,270,124,84,0
