k-아파트코드,k-아파트명,"k-단지분류(아파트,주상복합등등)",주소(시군구),주소(읍면동),나머지주소,주소(도로명),주소(도로상세주소),k-세대타입(분양형태),k-복도유형,k-난방방식,k-전체동수,k-전체세대수,k-건설사(시공사),k-시행사,k-사용검사일-사용승인일,k-전용면적별세대현황(60㎡이하),k-전용면적별세대현황(60㎡~85㎡이하),k-85㎡~135㎡이하,k-135㎡초과
A10024577,위례포레샤인18단지,,송파구,거여동,,위례북로4길,12,임대,계단식,지역난방,13,685,대명건설,SH공사,2020-10-28 00:00:00.0,0,685,0,0
A10024581,DMC문영퀸즈파크,아파트,은평구,증산동,,증산로13길,44-5,분양,기타,개별난방,0,119,,,2004-06-25 00:00:00.0,0,119,0,0
A10024603,종암sh빌아파트,아파트,성북구,종암동,,종암로9길,71,임대,기타,개별난방,0,104,,,2007-04-20 00:00:00.0,104,0,0,0
A10024615,힐스테이트클래시안아파트,,영등포구,신길동,,신길로28길,9,임대+분양,혼합식,개별난방,14,1476,현대건설,신길9구역 주택재개발정비사업조합,2020-09-23 00:00:00.0,1028,424,24,0
A10024620,인왕산어울림 아파트,,서대문구,홍제동,,통일로26길,17,분양,계단식,개별난방,2,123,금호건설,,2006-07-04 00:00:00.0,0,0,109,0
A10024621,태흥아파트,아파트,관악구,신림동,,호암로,541,분양,기타,개별난방,0,127,,,1995-03-27 00:00:00.0,110,17,0,0
A10024634,신림서초아파트,아파트,관악구,신림동,,호암로16길,5,분양,기타,개별난방,0,109,,,2003-09-02 00:00:00.0,24,85,0,0
A10024636,세양청마루,,노원구,월계동,,석계로13길,35,분양,계단식,개별난방,1,115,세양건설,..,2005-10-27 00:00:00.0,0,115,0,0
A10024638,관악월드메르디앙아파트,아파트,관악구,봉천동,,관악로28길,80,분양,계단식,개별난방,2,118,월드건설(주),미주연립재건축조합,2005-12-02 00:00:00.0,0,118,0,0
A10024667,구의세양아파트 ,아파트,광진구,구의동,,구의강변로,84,분양,계단식,개별난방,2,130,(주)세양건설,(주)세양건설,2002-01-23 00:00:00.0,0,130,0,0
A10024669,동익빌라,연립주택,종로구,구기동,,홍지문길,64,분양,기타,개별난방,0,123,,,1996-11-17 00:00:00.0,0,78,0,0
A10024691,용산센트럴파크 해링턴스퀘어 ,,용산구,한강로3가,,서빙고로,17,임대+분양,혼합식,지역난방,5,0,효성,국제빌딩 주변 제4구역 도시환경 정비사업조합,2020-08-20 00:00:00.0,0,0,0,0
A10024702,장위우방아파트,아파트,성북구,장위동,,화랑로,235,분양,혼합식,개별난방,1,147,(주)우방,(주)우방,2001-12-27 00:00:00.0,82,31,34,0
A10024703,면목 라온 프라이빗 아파트,아파트,중랑구,면목동,,동일로91길,23,임대+분양,계단식,개별난방,4,453,라온건설(주),면목5주택 재건축정비사업조합,2020-06-30 00:00:00.0,171,257,25,0
A10024719,힐스테이트신촌아파트,아파트,서대문구,북아현동,,이화여대8길,123,임대+분양,계단식,개별난방,19,1226,현대건설주식회사,북아현1-1재개발주택조합,2020-08-04 00:00:00.0,631,561,34,0
A10024725,e편한세상 영등포 아델포레,,영등포구,대림동,,신길로,29,임대+분양,계단식,개별난방,13,859,대림산업(주),대림3구역재정비조합,2020-07-29 00:00:00.0,340,519,0,0
A10024733,현진에버빌아파트,아파트,동작구,신대방동,,신대방1나길,45,분양,계단식,개별난방,1,135,(주)현진종합건설,(주)현진종합건설,2003-10-24 00:00:00.0,59,76,0,0
A10024741,사가정 센트럴 아이파크 아파트,아파트,중랑구,면목동,,동일로92길,40,임대+분양,혼합식,개별난방,11,1505,현대산업개발,면목3주택 재건축정비사업조합,2020-07-30 00:00:00.0,378,1040,87,0
A10024749,신림2차금호타운,아파트,관악구,신림동,,신림로3가길,7,분양,혼합식,개별난방,1,126,금호건설,조합,1998-06-01 00:00:00.0,60,50,16,0
A10024751,광장자이아파트,,광진구,광장동,,광나루로,595,분양,계단식,개별난방,2,122,GS건설,GS건설,2008-12-02 00:00:00.0,0,0,41,0
A10024752,신한토탈아파트,,동작구,대방동,,등용로14길,34,분양,복도식,개별난방,1,134,(주) 신한건설,(주)신한건설,1997-11-17 00:00:00.0,44,90,0,0
A10024756,순화동포스코더샵,아파트,중구,순화동,,칠패로,27,분양,기타,개별난방,0,137,,,2007-05-25 00:00:00.0,21,116,0,0
A10024768,아임2030(청년주택),도시형 생활주택(주상복합),강서구,등촌동,,공항대로59가길,14,임대,복도식,개별난방,1,285,(주)대명이십일,대호주택건설,2020-05-01 00:00:00.0,285,0,0,0
A10024770,상계 대창센시티,아파트,노원구,상계동,,수락산로,246,분양,기타,개별난방,0,117,,,2002-07-30 00:00:00.0,0,117,0,0
A10024774,해주드림빌아파트,아파트,은평구,녹번동,,응암로,366,분양,계단식,개별난방,2,111,해주개발주식회사,해주개발주식회사,2001-11-04 00:00:00.0,11,72,28,0
A10024777,상도동 롯데캐슬 비엔,,동작구,상도동,,양녕로,170,분양,계단식,개별난방,4,141,롯데건설,약수아파트 재건축 조합,2010-12-30 00:00:00.0,0,99,42,0
A10024778,상계중앙하이츠아파트,아파트,노원구,상계동,,동일로231길,72,분양,기타,개별난방,0,142,,,1996-10-12 00:00:00.0,71,71,0,0
A10024780,금강주택,연립주택,종로구,평창동,,평창12길,8-22,분양,기타,개별난방,0,168,,,1992-05-19 00:00:00.0,0,168,0,0
A10024787,이편한세상 송파파크센트럴,아파트,송파구,거여동,,오금로,551,임대+분양,혼합식,지역난방,12,1199,대림산업(주),거여2재정비촉진구역 제2지구 주택재개발정비사업조합,2020-06-26 00:00:00.0,532,544,119,0
A10024789,당산센트럴아이파크,아파트,영등포구,당산동5가,,영신로,247,임대+분양,혼합식,개별난방,7,802,현대산업개발,상아현대주택재건축정비사업조합,2020-04-28 00:00:00.0,249,499,54,0
A10024798,상일우성타운,연립주택,강동구,상일동,,상암로,331,분양,기타,개별난방,0,105,,,1989-05-04 00:00:00.0,0,45,0,0
A10024799,대치1차현대아파트,아파트,강남구,대치동,,영동대로57길,28,분양,계단식,지역난방,1,120,현대산업개발,현대산업개발,1990-04-19 00:00:00.0,0,120,0,0
A10024801,황학코아루,,중구,황학동,,난계로11길,30,분양,혼합식,개별난방,3,112,우남건설,한국토지신탁,2010-10-29 00:00:00.0,0,97,2,0
A10024811,남해오네뜨아파트,아파트,동작구,사당동,,사당로2가길,173,분양,혼합식,개별난방,1,131,남해건설,남해건설,2002-12-30 00:00:00.0,60,57,14,0
A10024812,월계우남아파트,아파트,노원구,월계동,,화랑로,355,분양,계단식,개별난방,2,138,우남건설,우남건설,2001-12-04 00:00:00.0,0,138,0,0
A10024813,롯데캐슬노블,아파트,강남구,역삼동,,도곡로13길,19,분양,기타,개별난방,0,117,,,2007-02-26 00:00:00.0,0,0,0,0
A10024814,로데오현대아파트,아파트,강남구,신사동,,압구정로50길,28,분양,혼합식,지역난방,1,139,고려산업개발(주),신사동 한영아파트 1지구 재건축조합,1998-11-16 00:00:00.0,48,27,64,0
A10024815,롯데캐슬리베아파트,아파트,강남구,대치동,,도곡로,404,분양,기타,지역난방,0,144,,,2008-02-22 00:00:00.0,0,0,144,0
A10024819,삼성동한일아파트,아파트,강남구,삼성동,,봉은사로73길,23,분양,기타,개별난방,0,127,,,2001-12-27 00:00:00.0,26,101,0,0
A10024820,현대까르띠에710아파트,아파트,강남구,역삼동,,언주로86길,12,분양,기타,개별난방,0,137,,,2001-11-09 00:00:00.0,0,0,0,0
A10024821,대치롯데캐슬아파트,,강남구,대치동,,삼성로85길,11,분양,기타,지역난방,0,142,,,2002-08-29 00:00:00.0,0,16,111,0
A10024822,송학휴스테이아파트,아파트,도봉구,방학동,,도당로15길,36,분양,계단식,개별난방,3,134,(주)에스에이치건설,성삼연립주택조합,2016-12-01 00:00:00.0,134,0,0,0
A10024823,목동금호타운아파트,아파트,양천구,목동,,목동중앙남로3길,11,분양,기타,개별난방,0,103,,,1995-11-21 00:00:00.0,47,56,0,0
A10024828,DMC롯데캐슬더퍼스트,아파트,은평구,수색동,,수색로,300,임대+분양,혼합식,개별난방,15,1192,롯데건설,수색4재정비촉진구역주택재개발정비사업조합,2020-06-30 00:00:00.0,621,472,99,0
A10024829,대림 우성2차,아파트,영등포구,대림동,,도림로47길,1,분양,계단식,개별난방,1,120,우성건설(주),우성건설(주),1992-11-28 00:00:00.0,0,120,0,0
A10024831,녹번역e편한세상캐슬,아파트,은평구,응암동,,은평로,220,임대+분양,혼합식,개별난방,32,0,대림산업 롯데건설,응암제2구역주택재개발조합,2020-05-19 00:00:00.0,0,0,0,0
A10024849,구로항동우남퍼스트빌,아파트,구로구,항동,,항동로,8,분양,계단식,지역난방,5,337,우남건설,우남건설,2020-06-03 00:00:00.0,0,282,55,0
A10024872,목동 센트럴 아이파크위브 아파트,아파트,양천구,신월동,,남부순환로83길,18,임대+분양,혼합식,개별난방,35,3045,HDC현대산업개발 두산건설(주),조합,2020-05-28 00:00:00.0,1528,1497,20,0
A10024891,서교동 효성해링턴타워 ,아파트,마포구,서교동,,양화로,72,임대,복도식,개별난방,1,913,효성중공업,SH/멀티에셋,2020-04-23 00:00:00.0,913,0,0,0
A10024894,이편한세상서울대입구2차(5단지),아파트,관악구,봉천동,,참숯1길,19,임대+분양,혼합식,개별난방,10,519,삼호건설,봉천제12의1구역주택재개발조합,2020-04-29 00:00:00.0,191,276,52,0
A10024913,반포센트럴자이아파트,아파트,서초구,반포동,,반포대로,310-6,임대+분양,계단식,지역난방,7,0,GS건설,신반포6차 재건축조합,2020-04-28 00:00:00.0,0,0,0,0
A10024927,구로항동제일풍경채포레스트,아파트,구로구,항동,,부광로,96-16,분양,계단식,지역난방,4,345,제일건설(주),제일건설(주),2020-02-27 00:00:00.0,0,296,49,0
A10024932,e편한세상 강동에코포레 아파트,아파트,강동구,길동,,천중로,253,임대+분양,계단식,개별난방,6,366,고려개발(주),길동신동아3차아파트 주택재건축조합,2020-04-14 00:00:00.0,250,116,0,0
A10024938,래미안루센티아 아파트,아파트,서대문구,남가좌동,,거북골로,100,임대+분양,혼합식,지역난방,11,997,삼성물산(주),가재울뉴타운5구역 주택재개발 정비사업조합,2020-02-21 00:00:00.0,391,582,24,0
A10024947,백련산 해모로 아파트,아파트,은평구,응암동,,응암로30길,15,임대+분양,혼합식,개별난방,9,760,한진중공업(주),응암제11구역 주택재개발정비사업조합,2020-06-18 00:00:00.0,413,345,2,0
A10024974,신촌숲 아이파크 아파트,아파트,마포구,신수동,,광성로,17,임대+분양,혼합식,지역난방,7,1015,현대산업개발,신수1주택재건축정비사업조합,2019-08-29 00:00:00.0,376,545,88,0
A10025003,신촌그랑자이아파트,아파트,마포구,대흥동,,대흥로,175,임대+분양,혼합식,개별난방,18,1248,GS건설,대흥2구역 주택재개발정비사업조합,2020-02-21 00:00:00.0,635,583,30,0
A10025010,고덕 아르테온 아파트,아파트,강동구,상일동,,고덕로,360,임대+분양,,지역난방,41,4066,현대건설.대림산업,고덕3단지아파트주택재건축정비사업조합,2020-02-26 00:00:00.0,1220,2676,170,0
A10025013,사당롯데캐슬골든포레,아파트,동작구,사당동,,사당로,90,분양,혼합식,개별난방,17,959,롯데건설,사당2주택 재건축정비사업조합,2020-02-26 00:00:00.0,468,488,3,0
A10025015,휘경 해모로 프레스티지 아파트,아파트,동대문구,휘경동,,외대역동로1길,60-3,임대+분양,혼합식,개별난방,6,299,한진중공업(주),휘경제1정비촉진구역 주택재개발정비사업조합,2020-02-27 00:00:00.0,185,114,0,0
A10025024,신길센트럴자이,아파트,영등포구,신길동,,신길로29길,17,임대+분양,혼합식,개별난방,12,1008,GS건설,신길12재정비촉진구역 주택재개발정비사업조합,2020-02-24 00:00:00.0,608,395,5,0
A10025070,보라매 sk뷰,아파트,영등포구,신길동,,여의대방로35가길,19,임대+분양,계단식,개별난방,18,1546,sk건설,신길5재정비촉진구역 주택재개발정비사업조합,2020-01-29 00:00:00.0,650,789,105,0
A10025092,e편한세상서울대입구아파트,아파트,관악구,봉천동,,청룡16길,43,임대+분양,계단식,개별난방,19,1276,대림산업,봉천제12-2구역 주택재개발정비사업조합,2019-06-25 00:00:00.0,351,827,98,0
A10025097,월계센트럴아이파크아파트,아파트,노원구,월계동,,초안산로2라길,26,임대+분양,혼합식,개별난방,7,859,현대산업개발,인덕마을주택재건축정비사업조합,2019-11-07 00:00:00.0,296,563,0,0
A10025104,고덕센트럴 아이파크,아파트,강동구,상일동,,고덕로80길,99,분양,계단식,지역난방,19,1745,현대산업개발,고덕주공5단지 재건축조합,2019-12-30 00:00:00.0,638,1012,95,0
A10025112,고덕롯데캐슬베네루체,아파트,강동구,상일동,,상암로79길,88,임대+분양,계단식,지역난방,20,1859,롯데건설,고덕7단지 주택재건축정비사업조합,2019-12-30 00:00:00.0,461,1340,58,0
A10025115,항동중흥S클래스베르데카운티,아파트,구로구,항동,,연동로,233,분양,계단식,지역난방,6,419,중흥건설(주),중흥건설(주),2019-12-06 00:00:00.0,0,351,36,0
A10025116,e편한세상독산더타워아파트,아파트,금천구,독산동,,범안로,1212,분양,계단식,개별난방,2,432,대림산업,국제자산신탁(주),2019-11-28 00:00:00.0,280,152,0,0
A10025130,DMC에코자이,아파트,서대문구,남가좌동,,거북골로,84,임대+분양,혼합식,지역난방,11,1047,GS건설,가재울뉴타운6구역주택재개발정비사업조합,2019-12-27 00:00:00.0,554,483,10,0
A10025133,상계역센트럴푸르지오아파트,아파트,노원구,상계동,,수락산로,12,임대+분양,혼합식,개별난방,7,810,상계4구역주택재개발정비사업조합,대우건설,2019-12-30 00:00:00.0,551,250,9,0
A10025137,신내글로리움아파트,아파트,중랑구,신내동,,신내로,208,임대,복도식,지역난방,1,229,(주)옥토,서울주택도시공사,2019-10-01 00:00:00.0,229,0,0,0
A10025159,한양수자인사가정파크아파트,아파트,중랑구,면목동,,사가정로72길,26,임대+분양,계단식,개별난방,8,497,(주)한양,면목1주택재건축정비사업조합,2019-11-27 00:00:00.0,167,330,0,0
A10025166,북한산 두산 위브,아파트,서대문구,홍은동,,홍은중앙로3길,9,임대+분양,혼합식,개별난방,11,497,두산건설,홍은 제 14구역 주택재개발정비사업조합,2019-11-29 00:00:00.0,226,252,19,0
A10025174,힐스테이트암사,아파트,강동구,암사동,,올림픽로91길,30,임대+분양,계단식,개별난방,5,460,현대엔지니어링,한국자산신탁,2019-11-12 00:00:00.0,143,317,0,0
A10025185,잠실올림픽공원아이파크,아파트,송파구,풍납동,,올림픽로43길,34,임대+분양,계단식,지역난방,7,697,현대산업개발,풍남우성아파트주택재건축정비사업조합,2019-11-14 00:00:00.0,339,332,26,0
A10025193,항동 한양수자인 에듀힐즈,아파트,구로구,항동,,항동로,42,분양,계단식,지역난방,9,634,한양건설(주),국제자산신탁(주),2019-09-27 00:00:00.0,0,531,103,0
A10025203,디에이치 아너힐즈,아파트,강남구,개포동,생활지원센터,삼성로,11,임대+분양,혼합식,지역난방,23,1320,현대건설,개포주공3단지주택재건축정비사업조합,2019-08-29 00:00:00.0,426,629,261,0
A10025241,꿈의숲 해링턴 플레이스 아파트,아파트,강북구,미아동,,오현로,45,임대+분양,계단식,개별난방,17,1028, 진흥기업(주),미아제9-1구역 주택재건축정비사업조합,2019-09-27 00:00:00.0,369,565,94,0
A10025245,래미안퍼스트하이,아파트,성북구,장위동,래미안장위퍼스트하이,한천로,713,임대+분양,계단식,개별난방,16,1562,서울,장위5구역주택재개발정비사업조합,2019-09-27 00:00:00.0,660,756,146,0
A10025259,석계역 한일노벨리아시티,도시형 생활주택(주상복합),성북구,장위동,,화랑로,299,분양,복도식,개별난방,1,299,한일개발,아이에스디앤씨,2019-09-03 00:00:00.0,299,0,0,0
A10025263,고덕 그라시움 아파트,아파트,강동구,고덕동,,고덕로,333,임대+분양,계단식,지역난방,53,4932,대우건설 SK건설 현대건설,고덕주공2단지 주택재건축,2019-09-27 00:00:00.0,1964,2598,365,0
A10025280,청담아이파크아파트,아파트,강남구,청담동,,영동대로142길,25,분양,계단식,개별난방,1,108,현대산업개발,현대산업개발,1992-10-28 00:00:00.0,0,0,108,0
A10025283,래미안아트리치 ,아파트,성북구,석관동,석관동 래미안아트리치,돌곶이로8길,22,임대+분양,계단식,개별난방,14,1091,삼성물산(주),석관2주택재개발조합,2019-02-28 00:00:00.0,704,344,43,0
A10025302,항동하버라인4단지아파트,아파트,구로구,항동,항동하버라인4단지,항동로,72,임대+분양,계단식,지역난방,4,297,동부건설,SH공사,2019-05-31 00:00:00.0,297,0,0,0
A10025310,백련산 sk뷰 아이파크,아파트,은평구,응암동,백련산 sk뷰 아이파크,응암로30길,16,임대+분양,혼합식,개별난방,11,1305,sk view 현대산업개발,응암제10구역 주택재개발정비사업조합,2020-05-21 00:00:00.0,758,499,48,0
A10025372,신당KCC스위첸아파트,아파트,중구,신당동,,난계로,130,분양,계단식,개별난방,3,176,kcc건설,신당제11구역주택재개발정비사업주합,2019-05-31 00:00:00.0,75,101,0,0
A10025387,항동하버라인2단지,아파트,구로구,항동,항동하버라인2단지 관리사무소,연동로,234,임대+분양,계단식,지역난방,6,646,계룡건설,서울주택도시공사,2019-07-15 00:00:00.0,447,199,0,0
A10025404,아스하임4차,도시형 생활주택(주상복합),광진구,화양동,,광나루로,382,분양,복도식,개별난방,1,162,원플러스종합건설,원플러스종합건설,2018-11-16 00:00:00.0,162,0,0,0
A10025410,휘경SK뷰아파트,아파트,동대문구,휘경동,휘경sk뷰 아파트,휘경로,60,임대+분양,혼합식,개별난방,8,900,SK건설,휘경2 재정비촉진구역 주택재개발 사업조합,2019-06-18 00:00:00.0,489,355,56,0
A10025415,래미안솔베뉴,아파트,강동구,명일동,,양재대로,1650,임대+분양,계단식,개별난방,13,1900,삼성물산(주),삼익그린맨션아파트 주택재건축정비사업조합,2019-06-24 00:00:00.0,1443,445,12,0
A10025418,래미안 신반포 리오센트,아파트,서초구,잠원동,생활지원센터,잠원로14길,32,임대+분양,계단식,지역난방,6,475,삼성물산,신반포18차24차주택재건축정비사업조합,2019-06-21 00:00:00.0,99,118,258,0
A10025423,e편한세상서울대입구1단지아파트,아파트,관악구,봉천동,1단지 관리사무소,청룡10길,45,임대+분양,계단식,개별난방,10,711,대림산업(주),봉천제12-2구역 주택재개발정비사업조합,2019-06-25 00:00:00.0,196,459,56,0
A10025428,e편한세상서울대입구 3단지,아파트,관악구,봉천동,e편한세상서울대입구 3단지,참숯5길,7,임대,복도식,개별난방,2,206,대림산업,봉천12-2구역 주택재개발정비사업조함,2019-06-25 00:00:00.0,206,0,0,0
A10025461,래미안장위포레카운티아파트,아파트,성북구,장위동,생활지원센터,장월로,160,임대+분양,혼합식,개별난방,10,939,삼성물산(주)건설부문,장위1구역주택재개발정비사업조합,2019-06-19 00:00:00.0,356,556,27,0
A10025504,숲속마을 신동아파밀리에 아파트 ,아파트,동작구,신대방동,,여의대방로10길,100,분양,계단식,개별난방,2,105,신동아건설,신동아건설,2005-06-24 00:00:00.0,0,46,59,0
A10025533,용산롯데캐슬센터포레아파트,아파트,용산구,효창동,(효창동 용산롯데캐슬센터포레),백범로,313,임대+분양,계단식,개별난방,7,478,롯데건설,효창5구역 주택재개발정비사업조합,2019-04-29 00:00:00.0,260,206,12,0
A10025562,신길센트럴아이파크,아파트,영등포구,신길동,,가마산로,426,임대+분양,혼합식,개별난방,6,612,HDC현대산업개발,신길14 재정비촉진구역 주택재개발 정비사업조합,2019-02-28 00:00:00.0,372,240,0,0
A10025614,항동하버라인3단지,아파트,구로구,항동,,항동로,43,임대+분양,혼합식,지역난방,12,1170,한신공영,SH주택공사,2019-02-25 00:00:00.0,836,334,0,0
A10025632,송파해모로아파트,,송파구,풍납동,,풍성로26길,47,분양,복도식,개별난방,3,114,(주)한진중공업,동산대진연립주택재건축정비사업조합,2006-06-29 00:00:00.0,3,76,35,0
A10025638,래미안길음센터피스,아파트,성북구,길음동,래미안길음센터피스,숭인로,50,임대+분양,타워형,개별난방,24,2352,삼성건설,길음2재정비촉진구역주택재개발정비사업조합,2019-02-28 00:00:00.0,1632,671,49,0
A10025649,신정이든채,아파트,양천구,신정동,,신정로7길,75,임대,복도식,지역난방,4,499,금호산업(주),(주)서울리츠임대,2019-02-22 00:00:00.0,499,0,0,0
A10025657,송파 두산위브아파트,아파트,송파구,오금동,송파두산위브아파트,성내천로,103,분양,계단식,개별난방,2,269,두산건설,천강개발,2019-02-27 00:00:00.0,215,54,0,0
A10025659,응암역효성해링턴플레이스,아파트,은평구,신사동,(신사동 은평신사효성해링턴플레이스아파트),가좌로,334,임대+분양,계단식,개별난방,6,380,효성중공업,신사동19번지 주택재건축정비사업조합,2018-07-30 00:00:00.0,123,257,0,0
A10025672,마포 보성 아파트,아파트,마포구,마포동,,마포대로4길,90,분양,혼합식,개별난방,2,133,(주) 보성,(주) 보성,1996-11-29 00:00:00.0,81,37,15,0
A10025675,래미안블레스티지,아파트,강남구,개포동,래미안블레스티지 생활지원센타,선릉로,8,임대+분양,계단식,지역난방,23,1957,삼성물산,개포주공2단지주택재건축정비사업조합,2019-02-26 00:00:00.0,661,780,511,0
A10025677,은뜨락행복주택,아파트,은평구,진관동,은뜨락아파트,통일로,972,임대,복도식,지역난방,3,350,금호산업(주),서울주택도시공사,2019-02-08 00:00:00.0,350,0,0,0
A10025683,백련산파크자이아파트,아파트,은평구,응암동,,백련산로,67,임대+분양,혼합식,개별난방,9,678,GS건설,응암3주택재건축정비사업조합,2019-02-25 00:00:00.0,421,257,0,0
A10025710,경희궁 롯데캐슬아파트,아파트,종로구,무악동,경희궁 롯데캐슬,통일로,230,분양,계단식,개별난방,4,195,롯데건설(주),무악제2구역주택재개발정비사업조합,2019-01-22 00:00:00.0,71,100,24,0
A10025729,목동파크자이아파트,아파트,양천구,신정동,목동파크자이아파트,목동남로4길,80,분양,계단식,지역난방,8,356,GS건설,(주)엠피씨라이프,2019-02-07 00:00:00.0,0,347,9,0
A10025753,길음뉴타운11단지 롯데캐슬골든힐스아파트,아파트,성북구,정릉동,정릉동. 길음11단지 롯데캐슬골든힐스아파트,서경로,60,임대+분양,계단식,개별난방,5,399,롯데건설주식회사,길음3재정비촉진구역주택재건축정비사업조합,2019-05-07 00:00:00.0,136,263,0,0
A10025754,답십리파크자이,아파트,동대문구,답십리동,관리사무소,답십리로56길,105,임대+분양,혼합식,개별난방,9,802,gs건설,답십리제14구역 주택재개발 정비사업조합,2019-01-22 00:00:00.0,656,146,0,0
A10025765,은평스카이뷰자이아파트,아파트,은평구,진관동,아파트 관리사무소,통일로,1034,분양,계단식,지역난방,3,361,GS 건설,GS 건설,2019-01-30 00:00:00.0,0,361,0,0
A10025767,홍제센트럴아이파크,아파트,서대문구,홍제동,(홍제동 홍제센트럴아이파크),통일로,395,임대+분양,혼합식,개별난방,14,906,현대산업개발,홍제 제2구역주택재개발정비사업조합,2018-12-31 00:00:00.0,288,559,59,0
A10025768,이편한세상 상도 노빌리티,아파트,동작구,상도동,상도2동 상도노빌리티아파트 생활지원쎈터,만양로,6,임대+분양,혼합식,개별난방,8,893,대림산업,상도노빌리티재건축조합,2018-12-03 00:00:00.0,253,584,56,0
A10025770,아크로 리버하임,아파트,동작구,흑석동,아크로리버하임 아파트,현충로,52,임대+분양,계단식,개별난방,20,1073,대림건설(주),흑석7재정비촉진구역주택재개발정비사업조합,2018-11-23 00:00:00.0,313,716,36,0
A10025822,연희파크푸르지오 아파트 ,아파트,서대문구,연희동,연희파크푸르지오아파트,홍제천로,136,임대+분양,계단식,개별난방,5,396,(주)대우건설,연희제1주택재건축정비조합,2018-12-21 00:00:00.0,136,225,35,0
A10025823,래미안개포루체하임,아파트,강남구,일원동,일원동래미안 루체하임,개포로110길,50,임대+분양,계단식,지역난방,12,850,삼성물산,현대아파트 재건축 조합,2018-11-21 00:00:00.0,210,395,239,0
A10025836,힐스테이트녹번,아파트,은평구,녹번동,힐스테이트녹번 아파트 관리사무소,통일로,610,임대+분양,혼합식,개별난방,13,952,현대힐스테이트,녹번제1구역제1지구 주택재개발정비사업조합,2018-10-10 00:00:00.0,652,296,4,0
A10025846,래미안베라힐즈아파트,아파트,은평구,녹번동,생활지원센터(관리사무소),통일로,630,임대+분양,계단식,개별난방,20,1305,삼성물산,녹번1-2 주택재개발정비사업,2018-12-27 00:00:00.0,589,704,12,0
A10025850,헬리오시티아파트,아파트,송파구,가락동,,송파대로,345,임대+분양,혼합식,지역난방,84,9510,현대건설삼성물산현대산업개발,가락시영아파트주택재건축정비사업조합,2018-12-28 00:00:00.0,2854,5132,1500,0
A10025855,e편한세상화랑대아파트 ,아파트,중랑구,묵동,묵동e편한세상화랑대 관리사무소,숙선옹주로,45,임대+분양,계단식,개별난방,12,719,(주)대림산업,묵1동재건축사업정비조항,2017-12-06 00:00:00.0,236,435,48,0
A10025858,항동하버라인8단지,아파트,구로구,항동,항동하버라인8단지,서해안로,2036,,혼합식,지역난방,5,384,(주)대보건설,서울주택도시공사,2018-10-30 00:00:00.0,384,0,0,0
A10025867,흑석롯데캐슬에듀포레,아파트,동작구,흑석동,흑석롯데캐슬에듀포레아파트,서달로,123,임대+분양,타워형,개별난방,7,545,롯데건설(주),흑석8재정비촉진구역주택재개발정비사업조합,2018-11-29 00:00:00.0,278,237,30,0
A10025898,용산kcc스위첸,아파트,용산구,효창동,(효창동효창파크kcc스위첸),백범로,275,분양,계단식,개별난방,3,199,kcc스위첸,효창제4구역주택재개?정비조합,2018-09-21 00:00:00.0,81,118,0,0
A10025927,방배아트자이,아파트,서초구,방배동,방배아트자이,명달로9길,57,임대+분양,계단식,지역난방,5,353,GS건설,방배3구역주택재건축정비사업조합,2018-10-29 00:00:00.0,133,178,42,0
A10025946,금천롯데캐슬골드파크3차아파트,아파트,금천구,독산동,금천롯데캐슬골드파크3차아파트,시흥대로,291,임대+분양,계단식,개별난방,6,1236,롯데건설,(주)제이피홀딩스피에프브이,2018-10-30 00:00:00.0,742,494,0,0
A10025976,DMC센트럴아이파크 관리사무소,아파트,서대문구,남가좌동,DMC2차아이파크 관리사무소,증가로,150,임대+분양,혼합식,개별난방,13,1061,HDC현대산업개발,남가좌1주택재건축정비사업 조합,2018-12-31 00:00:00.0,239,693,129,0
A10025985,래미안 구의 파크스위트 아파트,아파트,광진구,구의동,래미안 구의 파크스위트 아파트,광나루로,545,분양,계단식,개별난방,12,854,삼성물산(주),구의1주택재건축정비사업조합,2018-09-27 00:00:00.0,313,453,86,0
A10026004,신반포자이아파트,아파트,서초구,잠원동,,잠원로,60,임대+분양,계단식,지역난방,7,607,GS건설,반포한양아파트 주택재건축정비사업조합,2018-07-27 00:00:00.0,162,291,148,0
A10026015,반포써밋,아파트,서초구,반포동,,고무래로,89,임대+분양,계단식,지역난방,8,764,(주)대우건설,삼호가든4차아파트 주택재건축정비사업조합,2018-09-21 00:00:00.0,275,343,146,0
A10026023,목동롯데캐슬 마에스트로,아파트,양천구,목동,,목동중앙북로8길,71,분양,계단식,지역난방,6,410,롯데건설(주),목제1주택건축정비사업조합,2019-04-23 00:00:00.0,220,174,16,0
A10026036,마포자이3차아파트,아파트,마포구,염리동,관리사무소,숭문길,98,임대+분양,혼합식,개별난방,13,767,GS건설,염리2구역 주택재개발정비사업 조합,2018-09-28 00:00:00.0,306,449,12,0
A10026039,천왕이펜하우스8단지,아파트,구로구,천왕동,천왕이펜하우스8단지관리사무소,금오로,882,임대,복도식,개별난방,4,298,동우건설(주),서울주택도시공사,2018-09-17 00:00:00.0,298,0,0,0
A10026046,청광플러스원 아파트,아파트,중랑구,중화동,,동일로136길,15,임대+분양,계단식,개별난방,2,109,청광종합건설(주),청풍연립재건축조합,2007-07-23 00:00:00.0,0,109,0,0
