200612,11440,72.53
200612,11410,71.22
200612,11200,74.84
200612,11290,69.42
200612,11170,79.89
200612,11380,81
200612,11110,78.65
200612,11140,78.43
200612,11260,69.42
200612,11680,80.68
200612,11740,80.71
200612,11500,79.82
200612,11620,74.95
200612,11530,74.22
200612,11545,73.67
200612,11590,75.46
200612,11650,79.64
200612,11710,84.85
200612,11470,84.46
200612,11560,70.64
200701,11305,72.69
200701,11215,82.96
200701,11350,67.57
200701,11320,75.54
200701,11230,70.83
200701,11440,73.52
200701,11410,72.23
200701,11200,76.02
200701,11290,71.31
200701,11170,81.01
200701,11380,82.28
200701,11110,79.36
200701,11140,80.07
200701,11260,71.74
200701,11680,81.36
200701,11740,81.74
200701,11500,80.86
200701,11620,76.23
200701,11530,75
200701,11545,74.67
200701,11590,76.27
200701,11650,80.2
200701,11710,85.91
200701,11470,84.63
200701,11560,72.03
200702,11305,73.61
200702,11215,83.08
200702,11350,68.01
200702,11320,76.1
200702,11230,71.15
200702,11440,73.61
200702,11410,72.78
200702,11200,76.75
200702,11290,71.92
200702,11170,81.29
200702,11380,82.56
200702,11110,79.58
200702,11140,80.79
200702,11260,72.28
200702,11680,81.23
200702,11740,81.75
200702,11500,81.15
200702,11620,76.77
200702,11530,75.42
200702,11545,74.88
200702,11590,76.4
200702,11650,80.11
200702,11710,85.84
200702,11470,84.58
200702,11560,72.46
200703,11305,74.98
200703,11215,83.15
200703,11350,68.28
200703,11320,76.35
200703,11230,71.23
200703,11440,73.95
200703,11410,73
200703,11200,76.98
200703,11290,71.98
200703,11170,81.39
200703,11380,82.68
200703,11110,79.67
200703,11140,80.92
200703,11260,72.5
200703,11680,81.08
200703,11740,81.77
200703,11500,81.24
200703,11620,77.04
200703,11530,75.6
200703,11545,75.28
200703,11590,76.77
200703,11650,80
200703,11710,85.86
200703,11470,84.46
200703,11560,72.7
200704,11305,75.47
200704,11215,83.02
200704,11350,68.65
200704,11320,76.86
200704,11230,71.88
200704,11440,74.01
200704,11410,73.23
200704,11200,77.37
200704,11290,72.19
200704,11170,81.83
200704,11380,83.17
200704,11110,79.7
200704,11140,81.08
200704,11260,72.93
200704,11680,80.38
200704,11740,81.12
200704,11500,81.47
200704,11620,77.05
200704,11530,76.14
200704,11545,75.43
200704,11590,76.86
200704,11650,79.9
200704,11710,85.47
200704,11470,83.61
200704,11560,72.77
200705,11305,75.65
200705,11215,82.58
200705,11350,68.8
200705,11320,77.1
200705,11230,72.15
200705,11440,74.03
200705,11410,73.28
200705,11200,77.42
200705,11290,72.4
200705,11170,81.77
200705,11380,83.02
200705,11110,79.74
200705,11140,81.37
200705,11260,73.15
200705,11680,79.79
200705,11740,79.91
200705,11500,81.43
200705,11620,77
200705,11530,76.14
200705,11545,75.58
200705,11590,76.98
200705,11650,79.66
200705,11710,85.16
200705,11470,83.14
200705,11560,72.55
200706,11305,75.9
200706,11215,82.41
200706,11350,68.97
200706,11320,77.48
200706,11230,72.44
200706,11440,73.93
200706,11410,73.3
200706,11200,77.48
200706,11290,72.52
200706,11170,82.54
200706,11380,83.17
200706,11110,80.05
200706,11140,81.37
200706,11260,73.41
200706,11680,79.7
200706,11740,79.86
200706,11500,81.65
200706,11620,77.14
200706,11530,76.2
200706,11545,75.7
200706,11590,76.99
200706,11650,79.58
200706,11710,84.95
200706,11470,82.9
200706,11560,72.45
200707,11305,76.8
200707,11215,82.26
200707,11350,69.35
200707,11320,78.33
200707,11230,73.02
200707,11440,73.91
200707,11410,73.86
200707,11200,77.52
200707,11290,72.86
200707,11170,82.89
200707,11380,83.46
200707,11110,80.09
200707,11140,81.96
200707,11260,73.94
200707,11680,79.81
200707,11740,79.98
200707,11500,81.83
200707,11620,77.34
200707,11530,76.61
200707,11545,75.93
200707,11590,77.17
200707,11650,79.52
200707,11710,85.03
200707,11470,82.88
200707,11560,72.62
200708,11305,77.26
200708,11215,82.31
200708,11350,69.72
200708,11320,79.17
200708,11230,73.24
200708,11440,73.96
200708,11410,74.04
200708,11200,77.52
200708,11290,73.07
200708,11170,83.09
200708,11380,83.51
200708,11110,80.23
200708,11140,82.08
200708,11260,74.28
200708,11680,79.84
200708,11740,79.93
200708,11500,81.94
200708,11620,77.66
200708,11530,76.76
200708,11545,75.97
200708,11590,77.23
200708,11650,79.48
200708,11710,85.04
200708,11470,83.02
200708,11560,72.7
200709,11305,78.45
200709,11215,82.41
200709,11350,70.09
200709,11320,79.44
200709,11230,73.59
200709,11440,74.08
200709,11410,74.27
200709,11200,77.56
